
t, n, s
206, 1500000, 157
206, 1875000, 131
225, 1992187, 132
250, 2116698, 136
250, 2248991, 130
300, 2389552, 140
300, 2538899, 134
300, 2697580, 129
412, 3371975, 136
412, 3582723, 130
425, 3806643, 128
500, 4044558, 136
500, 4297342, 131
600, 4565925, 142
600, 4851295, 136
600, 5154500, 131
825, 6443125, 139
825, 7248515, 129
900, 7701547, 131
1000, 8182893, 135
1000, 8694323, 130
1200, 9237718, 141
1200, 9815075, 136
1200, 10428517, 131
1650, 13035646, 139
1650, 14665101, 130
1700, 15581669, 128
1800, 16555523, 128
2000, 17590243, 131
2400, 18689633, 141
2400, 19857735, 136
2400, 21098843, 131
3300, 26373553, 139
3300, 29670247, 130
3600, 31524637, 132
4000, 33494926, 135
4000, 35588358, 131
4800, 37812630, 140
4800, 40175919, 135
4800, 42686913, 131
6600, 53358641, 138
6600, 60028471, 130
6800, 63780250, 128
8000, 67766515, 135
8000, 72001922, 131
9600, 76502042, 140
9600, 81283419, 135
9600, 86363632, 131
