
t, n, s
206, 300000, 150
206, 337500, 135
206, 358593, 128
225, 381005, 130
250, 404817, 133
300, 430118, 145
300, 457000, 138
300, 485562, 132
412, 606952, 139
412, 682821, 128
450, 725497, 130
500, 770840, 134
500, 819017, 128
600, 870205, 139
600, 924592, 133
600, 982379, 128
825, 1227973, 136
825, 1304721, 130
850, 1386266, 128
1000, 1472907, 136
1000, 1564963, 131
1200, 1662773, 142
1200, 1766696, 136
1200, 1877114, 131
1650, 2346392, 139
1650, 2639691, 128
1800, 2804671, 129
2000, 2979962, 128
2400, 3166209, 136
2400, 3364097, 129
3300, 4205121, 130
3600, 4467941, 129
4800, 4747187, 137
4800, 5043886, 131
6600, 5674371, 137
6600, 6029019, 131
6800, 6405832, 130
9600, 6806196, 131
9600, 7231583, 134
