t, n, s
206, 4000000, 128
225, 4250000, 129
250, 4515625, 132
300, 4797851, 143
300, 5097716, 137
300, 5416323, 131
412, 6770403, 138
412, 7616703, 128
450, 8092746, 130
500, 8598542, 134
500, 9135950, 129
600, 9706946, 139
600, 10313630, 134
600, 10958231, 129
825, 13697788, 137
825, 15410011, 128
900, 16373136, 130
1000, 17396457, 133
1000, 18483735, 129
1200, 19638968, 138
1200, 20866403, 134
1200, 22170553, 129
1650, 27713191, 137
1650, 31177339, 128
1800, 33125922, 131
2000, 35196292, 134
2000, 37396060, 129
2400, 39733313, 133
2400, 42216645, 129
3300, 47493725, 135
3300, 50462082, 130
3600, 53615962, 129
4000, 56966959, 129
4800, 60527393, 133
6600, 75659241, 129
8000, 80387943, 134
9600, 85412189, 141
9600, 90750450, 132
